Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
New Ireland Province,Spearfishing,M,23,FATAL,Y,UNKNOWN,3.7 m [12] shark
California,Pulling shark from the water,M,24,Nipped on shoulder by captive shark PROVOKED INCIDENT,N,14h30,5 blue shark
Kagawa Prefecture,UNKNOWN,M,19,FATAL,Y,14h30,UNKNOWN
Liguria,Spearfishing on Scuba,M,UNKNOWN,Minor injuries to face & forearm,N,UNKNOWN,UNKNOWN
Western Australia,"Spearfishing, dived to pick up a float line",M,23,"FATAL, ""bitten in two""",Y,11h00,White shark
Hamilton,Floating,F,19,Right foot abraded & lacerated,N,16h00,UNKNOWN
UNKNOWN,UNKNOWN,M,UNKNOWN,3 fingers were bitten by a shark,N,UNKNOWN,UNKNOWN
New South Wales,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,UNKNOWN,"Disappeared, no trace of men or equipment, shark attack considered",UNKNOWN,Night,Shark involvement prior to death was not confirmed
Florida,Spearfishing,M,15,Shark grasped thigh,N,14h30,"Nurse shark, 106 cm, 28-lb, male "
Out Islands,Photographing sharks underwater using Scuba,M,41,"No injury, shark struck camera",N,Early afternoon,1.5 m to 1.8 m [5 to 6] sandbar shark
Cap Vert Peninsula,Beach seine netting,M,UNKNOWN,Ankle bitten,N,04h00,1.8 m shark
Florida,Snorkeling,M,20,Foot lacerated,N,Afternoon,UNKNOWN
Mugla Province,Spearfishing,M,36,FATAL,Y,13h40,UNKNOWN
South Carolina,Surfing,M,18,Incident not confirmed,UNKNOWN,16h30,Questionable incident
Florida,Spearfishing,M,26,"After shark was speared & hit on head, it bit the diver’s foot  PROVOKED INCIDENT",N,17h30,"Nurse shark, 1 m "
Sicily,Fishing boat,M,UNKNOWN,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",N,UNKNOWN,"White shark, 4 to 5 m [13 to 16.5] "
South Australia,UNKNOWN,M,30,Thigh abraded & lacerated Recorded as PROVOKED INCIDENT,N,Morning,Bronze whaler shark
UNKNOWN,Feeding a shark,M,22,Recorded as PROVOKED INCIDENT,N,Afternoon,Grey nurse shark
Gibraltar,Fishing,M,60,Tooth knocked out by hooked shark PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN
North Island,Freediving,M,21,Abrasions to lower leg Recorded as PROVOKED INCIDENT,N,Afternoon,UNKNOWN
KwaZulu-Natal,Spearfishing,M,32,"Punctures in right buttock & thigh, abrasion on right forearm",N,06h50,"White shark, 3 m [10] "
Victoria,Spearfishing,M,36,Speared shark lacerated his arm PROVOKED INCIDENT,N,15h00,Grey nurse shark
New South Wales,Vehicle plunged over cliff into the water,UNKNOWN,UNKNOWN,"Fatal or scavenging by ""a pack of sharks""",UNKNOWN,UNKNOWN,Shark involvement prior to death was not confirmed
South Island,Lifesaving drill,M,21,"FATAL, seen taken by a shark ",Y,19h45,Thought to involve a white shark
New Britain,UNKNOWN,M,14,Leg bitten,N,UNKNOWN,3.7 m [12] shark
Veracruz,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  ,M,UNKNOWN,FATAL,Y,14h00,UNKNOWN
Western Cape Province,Fishing for rock lobster,UNKNOWN,UNKNOWN,"Holed & sank boat, 1 man flung into water but ignored by the shark",N,UNKNOWN,White shark or thresher shark
Western Cape Province,Spearfishing Competition,M,UNKNOWN,"No injury, shark bit support boat, removing pieces of wood after Gerricke shot it  PROVOKED INCIDENT",N,UNKNOWN,2.1 m [7] sandtiger shark
Bay of Maputo,Swimming in the channel,M,31,Right leg severely lacerated,N,UNKNOWN,UNKNOWN
Victoria,Splashing,M,15,Foot bitten when he kicked shark PROVOKED INCIDENT,N,UNKNOWN,"""sand shark"""
Tasmania,Fishing,M,30,"6"" laceration to left forearm ",N,UNKNOWN,2.1 m [7] shark
New South Wales,Spearfishing,M,29,The shark bit the divers leg after he shot it  PROVOKED INCIDENT,N,UNKNOWN,"Grey nurse shark, 1.5 m [5] "
New South Wales,Spearfishing,M,19,Right hand lacerated,N,UNKNOWN,"Grey nurse shark, 1.5 m [5]"
UNKNOWN,Wading,M,39,Thigh bitten,N,Afternoon,UNKNOWN
New South Wales,Spearfishing,M,29,Right leg bitten,N,UNKNOWN,1.8 m [6] shark
UNKNOWN,UNKNOWN,UNKNOWN,28,No details,UNKNOWN,UNKNOWN,UNKNOWN
New Ireland Province,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,F,UNKNOWN,FATAL,Y,UNKNOWN,3.7 m [12] shark
New Ireland Province,Swimming,F,13,FATAL,Y,Morning,3.7 m [12] shark
New Ireland Province,Bathing,F,8,FATAL,Y,09h00,3.7 m [12] shark
Queensland,"Free diving, carrying speargun",M,32,Shoulder lacerated,N,16h45,"Bronze whaler shark, 2.1 m [7], a tooth was embedded in the speargun "
Hawaii,Fishing,M,20,Left elbow or hand bitten PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN
Western Australia,Spearfishing,M,UNKNOWN," The 2.9 m [9.5] shark never made contact with him. No attack, no injury.",UNKNOWN,UNKNOWN,Invalid
Western Australia,Spearfishing,M,UNKNOWN,Involved a speared shark but no other details PROVOKED INCIDENT,UNKNOWN,Late afternoon,UNKNOWN
Western Australia,Spearfishing,M,43,No injury,N,12h00,"Mako shark, 1.9 m [6.5] "
Florida,Hunting crayfish ,M,14,Abdomen abraded when he seized shark PROVOKED INCIDENT,N,UNKNOWN,"Nurse shark, 2.5 "
Bimini Islands,Diving / UW photography,M,UNKNOWN,"2.4 to 3 m [8 to 10] oceanic whitetip shark  buzzed him. No attack, no injury",UNKNOWN,UNKNOWN,Invalid
Northern Territory,UNKNOWN,M,UNKNOWN,"No injury to occupant. Shark struck vessel, jamming centreboard",N,UNKNOWN,UNKNOWN
KwaZulu-Natal,Netting sharks,M,UNKNOWN,"No attack, no injury to occupant: a 400-lb grey shark bit nets in the water ",UNKNOWN,UNKNOWN,Invalid
Bimini Islands,Snorkeling,F,18,"Survived, no details",N,17h00,UNKNOWN
Duke of York Islands,Swimming,F,13,FATAL,Y,Midday,A pack of 6 sharks
Duke of York Islands,Diving into water,F,9,FATAL,Y,Midday,A pack of 6 sharks
Primorje-Gorski Kotar County ,Swimming,M,33,FATAL,Y,UNKNOWN,White shark
UNKNOWN,Lobster diving using Scuba,M,UNKNOWN,"No injury, but shark struck his calf",N,17h30,1.5 m to 2.1 m  [5 to 7] shark
Taranto province,Attacked shark with fists,M,21,Arm lacerated,N,UNKNOWN,"""small shark"""
Delaware,Spearfishing on Scuba,M,26,"No attack, no injury, shark took speared fish & approached diver closely ",UNKNOWN,17h00,Invalid
Florida,Wading,M,8,"No injury, mother lifted him from the water",N,15h00,Spinner or blacktip sharks
Texas,Diving for sand dollars,M,16,Dorsum of right foot grazed,N,UNKNOWN,Lemon shark or sandtiger shark
South Carolina,Killing a shark,M,34,"Arm bitten, PROVOKED INCIDENT",N,18h40,4 shark
Texas,Fishing,M,14,Lacerations to right foot,N,15h00,UNKNOWN
Northern Taiwan,Swimming,M,20,"FATAL, left leg severed",Y,UNKNOWN,UNKNOWN
"Admiralty Islands, Manus Province",Swimming,F,25,FATAL,Y,UNKNOWN,UNKNOWN
Florida,Free diving,M,46,No injury. A 1.1 m [3.5] blacktip shark shark made a threat display & bit gig,UNKNOWN,07h00,Invalid
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No injury to occupants, sharks bit chunks from boat",N,UNKNOWN,UNKNOWN
New Jersey,Clamming,M,15,3 lacerations on  right leg by speared fish PROVOKED INCIDENT,N,16h00,"Local authorities speculated that the water was too cold for sharks, but a 2.1 m [7], 200-lb pregnant sandbar shark was caught next day"
Florida,Fishing,M,18,Hand & forearm bitten by hooked shark PROVOKED INCIDENT,N,09h00,1.2 m [4] hammerhead shark
Texas,Swimming,M,18,Punctures on  thigh & buttock,N,17h00,a small shark
Society Islands,Fishing,M,UNKNOWN,Arm lacerated by netted shark PROVOKED INCIDENT,N,Afternoon,UNKNOWN
New South Wales,Sinking of the dredge World Atlas,M,40,FATAL,Y,Night,UNKNOWN
New South Wales,Fishing,M,UNKNOWN,Foot bitten,N,01h00,1.8 m [6] shark
UNKNOWN,Shipwreck,M,38,"FATAL, other human remains bitten by sharks, 13 people missing",Y,UNKNOWN,Believed white shark and other smaller species of sharks involved.
Florida,Spearfishing / Scuba diving,M,24,"White shark, 3.7 m [12]  made threat display. No injury, no attack",UNKNOWN,14h00,Invalid
UNKNOWN,The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma,M,UNKNOWN,130 perished; 136 survived  including a man whose foot was severed by a shark,Y,UNKNOWN,UNKNOWN
Puerto Rico,Swimming,M,25,Foot lacerated,N,16h30,UNKNOWN
New South Wales,Overturned skiff,M,UNKNOWN,Survived,N,UNKNOWN,UNKNOWN
New South Wales,Fishing (big game),UNKNOWN,UNKNOWN,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",N,UNKNOWN,"Alleged to involve a White shark, 7.6 m [25] "
Red Sea,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN
New South Wales,Treading water,M,13,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",N,14h00,"White shark, 2.5 m [8.25], an immature female, previously injured"
Western Cape Province,Helping men land a shark,M,33,Left leg lacerated by hooked shark  PROVOKED INCIDENT,N,Afternoon,Copper shark
North Sumatra,wreck of the State Oil Company ship Permina,UNKNOWN,UNKNOWN,Sharks said to have killed some of the 80 people lost,Y,UNKNOWN,UNKNOWN
California,Free diving / spearfishing (resting on the surface),M,29,"Hand, arm & thigh bitten",N,UNKNOWN,"White shark, 3 m [10] "
New South Wales,Spearfishing,M,30,Buttocks bitten,N,UNKNOWN,"Wobbegong shark, 5 "
UNKNOWN,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,UNKNOWN,UNKNOWN,"10 survived, 51 perished. ",Y,UNKNOWN,Shark involvement not confirmed
Eastern Cape Province,Standing,M,16,Right calf lacerated,N,09h00,1.5 m to 1.8 m [5 to 6] Zambesi shark
Western Australia,Jumped into the water,M,43,"Lower leg nipped, arm bruised when he landed in boat",N,UNKNOWN,76 cm [2.5] carpet shark
KwaZulu-Natal,Body surfing,M,15,Lower legs bitten,N,14h00,"1.8 m to 2 m [6 to 69""] shark"
North Island,Body surfing ,F,15,"FATAL, left leg bitten thigh to calf  ",Y,15h30,UNKNOWN
Florida,Swimming,M,35,Thigh gashed,N,16h00,Hammerhead shark
California,Walking,F,15,Minor lacerations & abrasions to lower leg. ,UNKNOWN,UNKNOWN,Shark involvement not confirmed
Western Australia,"Spearfishing, but standing in knee-deep water",M,40,Thigh & swim fin bitten,N,UNKNOWN,1.8 m [6] carpet shark
UNKNOWN,Freediving,M,UNKNOWN,No injury,N,14h00,Grey reef shark
South Australia,Fishing,UNKNOWN,UNKNOWN,No injury to occupants. Shark  gouged planks of boat,N,10h30,15 shark
Queensland,Fishing from 34 boat when pulled overboard by hooked shark,M,43,FATAL PROVOKED INCIDENT,Y,UNKNOWN,4.6 m [15] shark
"250 miles southwest of Oahu, Hawaii","Hauling dead shark aboard, when another shark leapt out of the water & bit him",M,44,"Left forearm bitten, surgically amputated",N,23h30,UNKNOWN
Caribbean Sea,Argentine Air Force C-54,UNKNOWN,UNKNOWN,2 life preservers had been bitten by sharks,UNKNOWN,07h32,Shark involvement not confirmed
Queensland,Surfing,M,24,Puncture wounds to right thigh,N,16h30,"Grey nurse shark, 2.4 m [8] "
UNKNOWN,The boat Caribou II sank,M,39,Survived,N,UNKNOWN,UNKNOWN
New Providence Island,Sunbathing on beach when he saw child being attacked by the shark,M,32,Right arm & right leg bitten,N,UNKNOWN,"1.8 m [6], 180-lb shark"
New Providence Island,Playing in the water,F,UNKNOWN,FATAL,Y,UNKNOWN,"1.8 m [6], 180-lb shark"
West coast,"Spearfishing, shot a turtle",M,15,FATAL,Y,UNKNOWN,2 sharks involved
New Britain,Wading,M,27,Toe severed,N,UNKNOWN,UNKNOWN
Madang Province,Spearing fish,M,UNKNOWN,"Minor injury, speared shark lacerated his kneecap & leg PROVOKED INCIDENT",N,UNKNOWN,"""small shark"""
East Sepik,Fishing (rod & line),M,UNKNOWN,Leg & hand bitten by shark that had been speared by another fisherman PROVOKED INCIDENT,N,14h00,0.9 m [3] shark
Veracruz,UNKNOWN,M,23,Leg & arm bitten,N,18h00,300-kg [662-lb] shark
UNKNOWN,"Arsinoe, a French tanker",M,UNKNOWN,"One man was lost, but he may have drowned",UNKNOWN,UNKNOWN,Shark involvement not confirmed
New Jersey,Swimming,M,15,Right thigh lacerated,N,17h30,UNKNOWN
Bimini Islands,Attempting to anesthetize shark,M,UNKNOWN,Chest bitten PROVOKED INCIDENT,N,UNKNOWN,"Lemon shark, 0.5 m"
Veracruz,Bathing,M,25,"FATAL, both legs severed ",Y,17h00,UNKNOWN
Hamilton,UNKNOWN,UNKNOWN,UNKNOWN,"No injury to occupant, shark bit boat",N,UNKNOWN,UNKNOWN
Florida,Wading,M,6,Parallel lacerations on right calf. Thought to be a barracuda bite ,UNKNOWN,UNKNOWN,Questionable incident
Florida,"Diving, retrieving film package from Titan 3C rocket",M,UNKNOWN,"No injury, chased by 4.6 m [15] oceanic whitetip sharks",UNKNOWN,UNKNOWN,Invalid
Veracruz,Swimming,M,38,"Right forearm severed, right leg bitten and surgically amputated",N,14h00,UNKNOWN
Near Bougainville (North Solomons),Spearfishing,M,UNKNOWN,Minor injury,N,UNKNOWN,UNKNOWN
UNKNOWN,Treading water,M,UNKNOWN,"FATAL, body not recovered",Y,Morning,UNKNOWN
Veracruz,Swimming,M,UNKNOWN,"FATAL, left leg & right arm severed ",Y,12h00,UNKNOWN
Veracruz,Swimming,M,UNKNOWN,"FATAL, left arm & right leg severed ",Y,UNKNOWN,UNKNOWN
UNKNOWN,Standing,M,UNKNOWN,Leg bitten,N,UNKNOWN,UNKNOWN
UNKNOWN,Diving,M,UNKNOWN,Minor injury,N,UNKNOWN,UNKNOWN
Veracruz,Swimming,M,35,"Right arm severed, right leg bitten, not known if he survived",N,UNKNOWN,UNKNOWN
Florida,UNKNOWN,M,49,"Thighs abraded, puncture wounds in dorsal surface of left hand",N,15h00,Bull shark
California,Surfing,M,19,Drowned & his body was not recovered. Sharks seen in area later that day but no shark involvement in surfers death,UNKNOWN,16h00,Invalid
Florida,Spearfishing,M,28,Left hand severely lacerated,N,11h00,"White shark, 10 to 12 "
Western Caroline Islands,Walking on reef,M,8,Right leg bitten,N,15h30,"Tiger shark, tooth fragment recovered"
Florida,Paddling on surfboard,M,17,Left hand punctured & lacerated,N,07h15,Blacktip or spinner shark
Puerto Rico,Aircraft exploded,M,UNKNOWN,"All 16 onboard perished, recovery efforts hampered by sharks",UNKNOWN,11h30,Shark involvement prior to death was not confirmed
Florida,Free diving,M,16,Survived,N,13h30,Mako shark
KwaZulu-Natal,Treading water,M,25,"Abdomen, buttock, thigh, arm & hand bitten",N,UNKNOWN,"1.8 m [6], 136-kg [300-lb] shark "
Massachusetts,Scuba diving,M,18,Punctures on left thigh,N,14h30,1.2 m [4] shark
California,Motor boat Rebel Belle lost,M,21,"Puncture marks on chest may have been post mortem, 4 other bodies in area were undamaged",UNKNOWN,UNKNOWN,Shark involvement prior to death was not confirmed
KwaZulu-Natal,Paddling rescue ski,M,22,"No injury, ski bitten",N,13h00,"White shark, 3.7 m [12] "
KwaZulu-Natal,Body surfing,M,20,Right thigh punctured,N,16h40,UNKNOWN
Victoria,Swimming,M,UNKNOWN,Thigh gashed,N,UNKNOWN,1.5 m [5] shark
Central Province,Free diving,M,30,FATAL,Y,UNKNOWN,4.9 m [16] whaler
Texas,Dangling feet in the water,M,13,Foot bitten,N,UNKNOWN,UNKNOWN
California,Surfing,M,UNKNOWN,Puncture wounds to foot when he stepped on a shark    PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN
Florida,Collecting marine specimens,M,UNKNOWN,"No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT",N,UNKNOWN,"Nurse shark, 0.94 m to 1.2 m [3 to 4] "
East of the Gulf of Aqaba,Standing in waist-deep water,M,UNKNOWN,Leg bitten three times,N,UNKNOWN,Small shark with white-tipped dorsal fin
UNKNOWN,"Spearfishing, but standing in the water",M,UNKNOWN,Ankle and thigh bitten; shark made three strikes,N,UNKNOWN,"1.5 m to 2.1 m [5 to 7] shark, possibly a mako shark"
Malampa Province,UNKNOWN,M,UNKNOWN,FATAL. Said to have been killed by sorcerers that turned themselves into sharks. The alleged sorcerers were taken into custody by authorities but released  due to lack of evidence. ,Y,UNKNOWN,UNKNOWN
Eastern Cape Province,Bather,UNKNOWN,UNKNOWN,No details,UNKNOWN,UNKNOWN,Questionable incident
Eastern Cape Province,Swimming,M,19,"Hand, ankle & calf lacerated",N,17h00,Raggedtooth shark 
Bougainville (North Solomons),UNKNOWN,M,UNKNOWN,Thigh severely lacerated,N,UNKNOWN,UNKNOWN
New South Wales,Fishing,UNKNOWN,UNKNOWN,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",N,10h30,4.6 m [15] shark
Bougainville (North Solomons),"Canoe swamped, swimming back to canoe",M,28,Survived,N,Late afternoon,2.1 m [7] shark
Coast Province,Fishing with hand line tied to wrist & was pulled into the water,M,10,FATAL,Y,UNKNOWN,UNKNOWN
Victoria ,Free diving with seals,M,25,Left leg severed,N,14h30,"White shark, 2.4 m [8] "
Queensland,Swimming out to rescue swimmers in difficulty,M,29,FATAL,Y,13h30,UNKNOWN
New South Wales,"Filming underwater, carrying powerhead",M,25,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",N,UNKNOWN,"White shark, 2.7 m [91""], 750-lb "
Puerto Rico,Longline fishing,UNKNOWN,UNKNOWN,"No injury to occupant, shark bit propeller of outboard motor",N,18h00,Mako shark
KwaZulu-Natal,Surf fishing,M,UNKNOWN,Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN
Florida,Boat Miss Becky  sank 12 miles from shore,UNKNOWN,UNKNOWN,"No injury to occupants, drove sharks away with paddles",UNKNOWN,Night,Invalid
Western Australia,"Surfing, but swimming to his board",M,19,Abrasions & 11 teethmarks on right lower leg,N,09h30,"Grey nurse shark, 1.8 m [6]"
UNKNOWN,Spearfishing,M,24,"Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark",UNKNOWN,11h00,Shark involvement prior to death was not confirmed
Northern Taiwan,Swimming,M,32,FATAL,Y,14h00,UNKNOWN
Northern Taiwan,Swimming,M,20,Right thigh &  elbow bitten,N,13h30,1.8 m [6] shark
Florida,Swimming,M,14,Bruised & abraded ankle,N,14h30,UNKNOWN
Guerrero,Floating on his back in an inner tube,M,19,Right thigh bitten,N,14h00,1.8 to 2.4 m [6 to 8] shark
Florida,Spearfishing / free diving,M,18,3 m to 3.7 m [10 to 12]  great hammerhead shark shark only made a threat display. No injury,UNKNOWN,11h30,Invalid
Florida,Swimming,M,UNKNOWN,"No injury,  bumped repeatedly",N,11h30,3 shark
Florida,Spearfishing using scuba,M,28,"No injury, shark hit scuba tank",N,12h00,Hammerhead shark
Okayama Prefecture,Swimming,M,12,"Leg bitten, surgically amputated",N,UNKNOWN,UNKNOWN
San Blas,Free diving / Spearfishingat edge of reef,M,21,Foot lacerated,N,UNKNOWN,Less than 1.2 m [4]
Puerto Rico,UNKNOWN,M,22,Arm lacerated by speared shark PROVOKED INCIDENT,N,11h00,Nurse shark
KwaZulu-Natal,Searching for remains of  Dr. Marais,M,30,"No injury, shark charged & impaled itself on spear",N,UNKNOWN,Zambesi shark
Connecticut,"Yacht Gooney Bird foundered, 4 survivors on raft",UNKNOWN,UNKNOWN,"No injury, no attack; sharks ate their food tied to a line over the side of the raft",UNKNOWN,UNKNOWN,Invalid
KwaZulu-Natal,Spearfishing ,M,52,FATAL,Y,UNKNOWN,UNKNOWN
Florida,Tagging sharks,M,UNKNOWN,"No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT",N,UNKNOWN,white shark
New Ireland Province,Standing / fishing,M,UNKNOWN,"FATAL, leg severed ",Y,UNKNOWN,UNKNOWN
New Ireland Province,canoeing,UNKNOWN,UNKNOWN,"No injury to occupant, canoe struck several times by shark ",N,UNKNOWN,UNKNOWN
Hamilton,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),UNKNOWN,UNKNOWN,"7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.",Y,UNKNOWN,UNKNOWN
New York,Attempting to swim across the Atlantic Ocean,F,29,"Disappeared, probable drowning but sharks in area led to speculation that she was taken by a shark",UNKNOWN,Night,Shark involvement prior to death was not confirmed
California,Fishing,UNKNOWN,UNKNOWN,"No injury to occupants, shark crashed through windshield of boat",N,UNKNOWN,2.1 m [7] shark
New Britain,Fishing,M,UNKNOWN,"No injury to occupant, shark lifted canoes outrigger",N,UNKNOWN,2.4 m [8] shark
Lau Group,Spearfishing,M,23,Buttocks bitten,N,UNKNOWN,UNKNOWN
KwaZulu-Natal,Swimming,M,40,"Skeletonized, except for head & feet. Possibly a drowning / scavenging",UNKNOWN,UNKNOWN,Shark involvement prior to death was not confirmed
Caribbean Coast,Standing,M,47,No injury,N,UNKNOWN,Lemon shark 
Vita Levu,Spearfishing,M,35,"FATAL, buttocks, lower abdomen & genitalia removed  ",Y,11h30,Tiger shark
San Blas Islands,Skin diving,M,13,"FATAL, torso / abdomen severely bitten  ",Y,UNKNOWN,1.8 m [6] shark
Madang Province,Fishing,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN
South Australia,Surfing,M,19,Left thigh lacerated,N,UNKNOWN,1.8 m [6] shark
Central Province,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,32,Presumed FATAL,Y,Midnight,UNKNOWN
Florida,Skin diving ,M,38,"Minor injury, abdomen abraded when he collided with the shark",N,16h00,1.7 m [5.5] shark
Cap Vert Peninsula,Free diving for shell,M,UNKNOWN,Thigh & hand bitten,N,UNKNOWN,3 m shark
UNKNOWN,Fishing,UNKNOWN,UNKNOWN,Hooked shark bit boat PROVOKED INCIDENT,N,UNKNOWN,"Tiger shark, 3.5 m, 250-lb female"
UNKNOWN,Diving for trochus shell,M,15,"FATAL, foot & part of other leg severed  ",Y,UNKNOWN,UNKNOWN
Vanua Levu,Spearfishing,M,17,"FATAL, thigh and abdomen bitten ",Y,10h30,UNKNOWN
North Island,preparing to go skin diving,M,UNKNOWN,Hand lacerated,N,12h00,UNKNOWN
North Island,Spearfishing,M,26,"No injury to diver, shark bit speargun",N,18h30,"White shark, 3 m [10] "
Western Cape Province,Body boarding,M,25,Right ankle lacerated,N,08h45,"White shark, 1.5 m [5] k"
North Island,Lying in 2 feet of water,M,UNKNOWN,Right leg & shoulder lacerated,N,UNKNOWN,"""sand shark"""
South Island,Swimming,M,19,"FATAL, both legs bitten & right leg severed at knee ",Y,06h45,"White shark, 3 m to 3.7 m [10 to 12] "
Queensland,Swimming,M,23,Body not recovered  / May have drowned prior to shark involvement,UNKNOWN,09h30,Shark involvement prior to death was not confirmed
South Island,Rowing,UNKNOWN,UNKNOWN,"No injury to occupants , shark nudged oars",N,12h00,1.8 m [6] shark
Florida,Floating,M,12,No injury,N,UNKNOWN,Hammerhead shark
Puntarenas Province,Swimming,M,UNKNOWN,"FATAL, right arm & left thigh bitten ",Y,UNKNOWN,UNKNOWN
UNKNOWN,Spearfishing,UNKNOWN,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN
Eastern Cape Province,Body surfing,M,39,Heel & ankle bitten,N,16h00,UNKNOWN
Eastern Cape Province,Standing,M,17,Heel bitten,N,11h00,UNKNOWN
Western Cape Province,Shark watching,UNKNOWN,UNKNOWN,"No injury to occupants, shark holed  boat",N,11h00,"White shark, 3.6 m [119""] "
Western Australia,Freediving,M,UNKNOWN,Arm lacerated,N,UNKNOWN,Wobbegong
California,Spearfishing / Scuba diving (at surface),M,21,Leg & thigh bitten,N,12h00,White shark (tooth fragment recovered)
New Britain,Fishing,M,UNKNOWN,FATAL,Y,UNKNOWN,Tiger shark
"Lomaloma, Lau",Swimming,F,20,Deep lacerations to her right thigh,N,15h00,UNKNOWN
Western Australia,UNKNOWN,UNKNOWN,UNKNOWN,UKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Western Cape Province,Diving for sinkers,M,UNKNOWN,Lacerations and puncture wounds in right arm ,N,UNKNOWN,2.1 m to 2.4 m  [7 to 8] shark
North Island,Snorkeling,M,UNKNOWN,No injury,UNKNOWN,07h30,Invalid
KwaZulu-Natal,Standing,F,20,"Right hand & foot severed, thigh & buttock lacerated",N,14h00,"Zambesi shark, 1.8 m [6] "
KwaZulu-Natal,Swimming ,M,24,"Lower leg bitten & foot severed, leg surgically amputated below knee",N,15h00,1.8 m [6]  shark
Queensland,Sitting on gunwale of boat,M,UNKNOWN,"No injury, sharks tail struck his armpit",N,Dawn,"4.3 m [14], 1000-lb shark"
Eastern Cape Province,Swimming,M,18,"FATAL, shoulders, arms, abdomen & foot bitten  ",Y,15h45,UNKNOWN
Between Southampton & Canary Islands,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",F,UNKNOWN,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning""",UNKNOWN,UNKNOWN,Invalid
KwaZulu-Natal,Helping friend land hooked shark,M,13,Foot lacerated  PROVOKED INCIDENT,N,18h30,"Dusky shark, 1 m "
New South Wales,Fishing,M,UNKNOWN,7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT,N,UNKNOWN,"Wobbegong shark, 3 "
Western Cape Province,Spearfishing,M,UNKNOWN,Foot lacerated,N,12h00,"White shark, 1.7 m [5.5]"
KwaZulu-Natal,Splashing in surf,M,15,"FATAL, arm severed, leg bitten",Y,12h40,300- to 400-lb Zambesi shark
South Australia,Spearfishing,M,23,Torso & hand lacerated,N,12h45,White shark
"South Coast, East New Britain",Spearfishing,M,22,"FATAL, leg severely bitten",Y,UNKNOWN,Tiger shark
South Island,Treading water while alongside capsized yacht,M,20,Hand & lower leg severely injured,N,13h00,Possibly a broadnose 7-gill shark
Gulf Province,Fishing / standing in waist deep water,F,18,Left arm lacerated  PROVOKED INCIDENT,N,14h00,Tiger shark
 Lau Province,Fishing,F,21,Elbow bitten,N,11h00,>1.2 m [4] tiger shark
Vita Levu,Spearing fish,M,25,Ankle & foot bitten,N,14h00,UNKNOWN
Sicily,Spearfishing,M,28,No injury,N,UNKNOWN,UNKNOWN
Queensland,Catching sharks under government contract,M,UNKNOWN,"No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT",N,UNKNOWN,"White shark, 152"" "
Florida,Testing anti-shark cage,M,UNKNOWN,No injury PROVOKED INCIDENT,N,11h40,"Silky shark, 1.9 m [6.5]"
New Britain,Wading,M,UNKNOWN,Thigh lacerated ,N,UNKNOWN,6 shark
Western Caroline Islands,Fishing,M,35,Left calf lacerated,N,03h00,Dooley believed his Injury was caused by stingray (Dasyatidae family)
Florida,"Surf fishing, wading ",M,28,"Right thigh &  foot bruised, right calf  lacerated",N,17h30,500-lb shark
UNKNOWN,Fishing for sharks,M,20,"Right hand lacerated, PROVOKED INCIDENT",N,UNKNOWN,UNKNOWN
UNKNOWN,Spearfishing / free diving,M,UNKNOWN,FATAL,Y,11h00,"White shark, 4 m [13] rk"
