Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,,
KwaZulu-Natal,Swimming,M,17,Laceration to foot,,,Questionable incident,,
Western Cape Province,Fishing for white shark,,,"No injury to occupants. Hooked shark bit boat's transom, PROVOKED INCIDENT",N,,"White shark, 4.8 m ",,
Western Cape Province,Boat,,,"No injury to occupants, shark leapt on bow of boat",N,,White shark,,
California,Surfing,M,25,Leg bitten ,N,14h30,"White shark, 3 m to 4 m [10' to 13'] ",,
Eastern Cape Province,Surfing,M,20,Left thigh lacerated,N,11h00,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",,
,Shipwreck,,,It was believed that survivors were killed by sharks,N,,,,
South Australia,"Skindiving,",M,27,"Right leg bitten below the knee, left ankle & foot lacerated",N,,2.7 m  [9'] shark,,
South China Sea 200 miles from Hong Kong,"3,909-ton Panamanian freighter Chieh Lee sank in a typhoon",M,,"FATAL, right leg bitten",Y,,,,
Florida,Swimming,M,16,FATAL,Y,,,,
Florida,Swimming,M,,FATAL,Y,,,,
Florida,Surfing,M,15,Laceration to left lower leg,N,14h00,"Tiger shark, 6' ",,
North Carolina,"Surfing, fell off surfboard",M,23,Right ankle & foot lacerated,N,,,,
Oregon,Surfing,M,19,"No injury, board bitten",N,14h00,"White shark, 4.5 m ",,
Florida,Spearfishing,M,24,Lacerations to forearms,N,10h30,,,
Louisiana,Playing,M,10,Leg bitten,N,,,,
Hawaii,Scuba diving,M,18,"FATAL, disappeared while diving, lower portion of body recovered",Y,,,,
Florida,Spearfishing,M,23,"""lost part of a finger""",N,,6' to 8' shark,,
Florida,Skindiving,M,17,Lacerations to right arm,N,Night,12' to 14' shark,,
Hawaii,Swimming,M,,Leg & foot bitten,N,,0.9 m to 1.5 m [3' to 5'] shark,,
Reggio Calabria Province,Fishing,M,46,Shark rammed boat PROVOKED INCIDENT,N,,"Blue shark, 2m ",,
Queensland,Sitting in bow of her father's 5 m boat,F,,"Shark jumped in boat, hitting her in the face & knocking her unconscious",N,,1.5 m [5'] shark,,
Western Cape Province,Competing in a light tackle game fishing,,,"Shark following hooked fish, rammed & holed boat",N,,"Mako shark, 180-kg [397-lb]",,
Texas,,,,"Possible drowning victim, remains retrieved from 400-lb shark caught by fishermen on 28-Apr-1976",,,Shark involvement prior to death was not confirmed,,
Florida,Standing,M,21 or 26,Lacerations to left leg,N,14h30,,,
Western Cape Province,Fishing,,,"No injury to occupants, shark buckled prop shaft",N,,Whale shark,,
Western Cape Province,,,,Shark breached hull of boat,N,,White shark named “Spotty”,,
Western Cape Province,,,,"Shark leapt into boat, hitting Fanie Schoeman on his back before sliding into the sea",N,,White shark named “Spotty”,,
Western Cape Province,Shark watching,,,"No injury to occupants, shark rammed bow, driving its head into the hull",N,,2.5 m [8.25'] white shark,,
Western Cape Province,Shark fishing,,,"No injury to occupants, After shark was harpooned & shot, it holed the boat PROVOKED INCIDENT",N,,4 m [13'] shark,,
Queensland,,F,,Survived,N,,,,
Western Cape Province,Fishing for snoek & yellowtail,,,"Hooked shark leapt onboard & into fish well, which it smashed PROVOKED INCIDENT",N,07h30,"White shark, 3 m [10'] ",,
Florida,Spearfishing / scuba diving,M,25,Puncture wounds to head & neck,N,,6' shark,,
North Island,Spearfishing,M,,FATAL,Y,13h00,Bronze whaler shark,,
Hawaii,Scuba diving,M,,"FATAL, lost consciousness at depth of 180'. Large sharks seen near partial remains of body",Y,,,,
South Australia,Attempting to drive shark away from the beach,,N/A,"No injury, shark charged & rammed boat several times",N,,2.4 m [8'] shark,,
California,Scuba diving & spearfishing,M,27,Leg bitten,N,12h00,White shark,,
New South Wales,Filming & feeding captive sharks,M,35,Tooth mark in left elbow PROVOKED INCIDENT,N,,"Grey nurse shark, 10' ",,
New South Wales,Standing,M,20,Laceration to posterior thigh,N,,5' shark,,
KwaZulu-Natal,Standing,M,33,Left foot lacerated,N,10h00,Juvenile dusky shark,,
Queensland,,M,,Puncture wounds in hand,N,,,,
Florida,Surfing,M,18,Foot bitten,N,,6' shark,,
New Jersey,Surf fishing,M,,"""Tooth marks"" in left leg",,11h30,Shark involvement unconfirmed,,
New South Wales,Surfing,M,20,"Cracked jaw & broken tooth, shark took chunk out of surfboard",N,,Bronze whaler,,
California,Surfing,,,,,,Questionable incident,,
KwaZulu-Natal,Paddleskiing,M,21,Right foot & ankle lacerated,N,,1.2 m [4'] shark,,
Eastern Cape Province,Surfing,M,19,Left leg & surfboard bitten,N,13h30,"White shark, 2.4 m [8']",,
Florida,Floating on a small orange raft ,M,20,"Calf bitten, leg surgically amputated below the knee  Note: by late August, 3 more bathers had been bitten by sharks at Daytona Beach",N,12h00,1.5 m [5'] shark,,
California,Free diving for abalone,M,44,"Shoulder, arm & hand lacerated",N,13h30,White shark,,
Mirs Bay ,Freedom swimming,M,24,"Leg bitten, surgically amputated",N,,,,
Oregon,Sea disaster,F,62,"FATAL, arms & legs bitten",Y,,,,
Tasmania,Scuba diving for abalone,M,37,FATAL,Y,Afternoon,White shark,,
Florida,Free diving,M,24,Forearms lacerated,N,,,,
Queensland,Surfing,M,21,Buttocks & leg bitten,N,,12' shark,,
California,Scuba diving for abalone (at surface),M,23,Legs bitten,N,14h30,"White shark, 5.8 m [19'] ",,
California,Hookah diving for abalone,M,34,"No injury, swim fin torn",N,13h30,"White shark, 5m to 6m",,
Florida,Swimming,F,14,Arm lacerated,N,Mid-morning,1.2 m [4'] shark,,
Western Australia,Spearfishing,M,29,Speared shark bit his arm  between elbow and shoulder PROVOKED INCIDENT,N,,2.4 m [8'] whaler shark,,
Florida,Surfing,M,16,"Foot bitten, tendons damaged",N,,,,
South Carolina,Swimming ,M,18,Lacerations to right foot,N,16h30,4' shark,,
South Carolina,Standing,F,15,Hand & wrist bitten,N,14h30,,,
Alabama,Swimming near his boat,M,27,Left leg bitten,N,,,,
Florida,Surfing,M,20,"No injury, board bumped",N,,,,
Florida,,M,,Slightly injured when he stepped on a shark PROVOKED INCIDENT,N,,,,
Florida,Surfing,M,17,Right foot bitten,N,10h00,,,
Florida,Bathing,F,10,Leg bitten,N,,,,
Genoa Province,Scuba diving,M,37,The press reported this as an attack by a white shark but the diver was the agressor,,,Invalid,,
KwaZulu-Natal,,M,,Probable drowning / scavenging,,,Shark involvement prior to death was not confirmed,,
Western Cape Province,Spearfishing Competition,M,,"No injury, rammed by shark",N,Afternoon,"White shark, 600-kg [1323-lb]",,
KwaZulu-Natal,Swimming,M,,Probable drowning / scavenging by a white shark,,,Shark involvement prior to death was not confirmed,,
Queensland,,F,,Hand bitten,N,,,,
Florida,Floating in inner tube,M,14,Left leg & foot bitten,N,,10' shark,,
Queensland,Diving & force-feeding the shark,,18,Laceration to thigh by captive shark PROVOKED INCIDENT,N,,"Bronze whaler shark, 6'",,
Western Cape Province,Attempting to drag hooked shark ashore by its tail,M,,Left leg bitten  PROVOKED INCIDENT,N,,1.5 m [5']  shark,,
Ganges-Brahmaputra delta,Ferry capsized,,,"FATAL, of 190 passengers & crew thrown into the water, 50 people were said to have been killed by sharks",Y,,,,
KwaZulu-Natal,Surfing,M,16,Foot severed,N,10h55,1.5 m [5'] shark,,
Western Cape Province,,,,Shark bit rudder & hull,N,,"Mako shark, 3 m [10'] ",,
South Australia,Swimming underwater from crayfish cage to a fishing bait,M,12,Right leg  severed FATAL,Y,18h00,"White shark, 3 m [10'] ",,
Victoria,Crayfishing,M,45,Puncture wounds to right shoulder,N,,"Carpet shark, 10' ",,
Queensland,,M,,Survived,N,,,,
Western Cape Province,Fishing,M,12,Foot bitten by shark he was gaffing  PROVOKED INCIDENT,N,,"Copper shark, 50-kg [110-b] ",,
South Australia,Surfing,M,17,"FATAL, body not recovered",Y,,,,
,Spearfishing,M,25,Laceration to right ankle,N,,8' blue shark,,
,,M,,FATAL,Y,,,,
Western Australia,,,32,Survived,N,,,,
Florida,Standing,M,24,Laceration to foot,N,Afternoon,,,
California,Surfing,M,17,"Thigh, lower back and surfboard bitten",N,07h30,"White shark, 5.5 m to 6 m [18' to 20'] ",,
California,Hookah diving for abalone,M,29,Major injuries,N,13h45,"White shark, 4 m to 5 m ",,
Red Sea,Swimming,F,20,"Bitten 12 times: multiple lacerations on hands, arms, shoulder breast thigh, both legs, left forearm surgically amputated ",N,17h00,"Shortfin mako shark, 2.3 m [7.5'] ",,
California,Scuba diving (but on surface),M,41,Minor injuries to hand,N,17h30,"White shark, 5 m to 6 m [16.5 to 20'] ",,
California,Scuba diving (but on surface),M,48,Minor bite on foot & swimfin,N,17h30,"White shark, 5 m to 6 m [16.5 to 20'] ",,
Queensland,3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,M,30,"Missing, believed taken by a shark",N,,,,
Oregon,Surfing,M,24,No injury,N,Morning,"White shark, 4.5 m ",,
Mirs Bay ,Freedom Swimming,M,22,Survived,N,,,,
Mirs Bay ,Freedom swimming,M,,FATAL,Y,,,,
Mirs Bay ,Freedom swimming,M,19,Arm broken & severely lacerated,N,,,,
Mirs Bay ,Freedom swimming,M,18,Left foot bitten,N,,,,
 Split-Dalmatia County,,M,21,Foot severed FATAL,Y,15h00,"White shark, 5 m [16.5'] ",,
California,Surfing,M,,Minor injuries to hand,N,,"White shark, 5 m ",,
California,Free diving for abalone (submerged),M,36,Minor bite on heel & swim fin bitten,N,,"White shark, 5.5 m [18'] ",,
Georgia,Swimming,M,17,FATAL,Y,,small sharks',,
Florida ,Adrift after the sinking of the motor yacht Princess Dianne,M,10,Arm bitten FATAL,Y,,3.7 m [12'] sharks,,
Florida,Swimming,F,61,Lacerations to hip and leg,N,08h55,,,
California,Free diving (but on surface),M,45,Leg bitten,N,11h30,"White shark, 5 m [16.5']",,
,Fishing boat swamped in a storm,M,,FATAL,Y,,,,
Western Cape Province,Spearfishing,M,22,Left knee lacerated,N,Late afternoon,"Raggedtooth shark, 1.5 m [5'] ",,
Eastern Cape Province,Standing,M,19,Lower right leg lacerated,N,15h30,,,
Florida,Swimming,F,11,Foot bitten,N,,,,
KwaZulu-Natal,Surfing,M,17,Right foot lacerated,N,16h30,Juvenile dusky shark,,
KwaZulu-Natal,Surfing,M,21,"No injury, surfboard bitten",N,16h30 or 18h00,1.8 m [6'] shark,,
Western Cape Province,Fishing for kob,,,"No injury to occupant, shark holed boat",N,,White shark,,
KwaZulu-Natal,Swimming,M,14,"Right calf removed, leg surgically amputated below the knee",N,19h00,,,
KwaZulu-Natal,Swimming,M,19,Right shin lacerated,N,19h00,,,
Western Cape Province,Fishing for red fish,,,"No injury to occupant, but  a shark chasing a hooked fish holed his boat above the waterline",N,,5 m white shark,,
Western Cape Province,Fishing for kob,,,"No injury,  shark leapt into boat & bit one of the boat's seats",N,Night,White shark,,
KwaZulu-Natal,Sitting,M,42,2 minor lacerations in foot,N,,"Raggedtooth shark, 1 m ",,
South Australia,Diving for abalone,M,26,"FATAL, right leg severed  ",Y,,White shark,,
KwaZulu-Natal,Swimming,M,33,Knee & calf lacerated,N,14h10,2 m to 2.5 m [6.75'  to 8.25'] shark,,
Gaza,Swimming,M,,FATAL,Y,,,,
Gaza,Swimming,M,32,FATAL,Y,,,,
Western Australia,Spearfishing,M,,8 to 10 puncture marks around knee,N,,"Bronze whaler shark, 4' ",,
Primorje-Gorski Kotar County ,,,,FATAL,Y,,,,
Gaza,Spearfishing,M,41,"Right leg severed at knee, abrasion on left ankle",N,11h20,,,
Gaza,Swimming ,M,20,FATAL,Y,12h00,,,
Luzon,Swimming,M,19,FATAL,Y,,,,
Hawaii,Swimming,M,,Leg bitten,N,,,,
Guerrero,Swimming alongside yacht Mexico Fiesta,M,20s,FATAL,Y,Late afternoon,,,
Western Australia,,,,Survived,N,,,,
Florida,Surfing,M,13,Foot bitten,N,Afternoon,,,
Queensland,,M,,Knee lacerated,N,,,,
KwaZulu-Natal,Being pulled to shore from wreck of 25-ton fishing vessel Alan S,M,,"FATAL, thigh bitten ",Y,,,,
Grand Bahama Island,"Free diving, Spearfishing",M,11,Left hand & forearm lacerated,N,14h30,7' to 8' bull shark,,
Mirs Bay ,Freedom Swimming,M,20,FATAL,Y,,,,
Baja California,"Free diving, Spearfishing",M,37,"FATAL, leg bitten ",Y,16h45,White shark,,
Red Sea,,M,,Massive wound on right thigh with femur exposed,N,,Tiger shark,,
Queensland,,,21,,UNKNOWN,,,,
Queensland,Surfing,M,16,Right foot severed,N,,12' shark,,
Virginia,Crabbing (spearing crabs),M,17,Elbow bitten,N,,1.5 m to 1.8 m [5' to 6']  blacktip shark,,
,Freedom Swimming,M,,"One man was killed by a shark, the other was injured",N,,,,
Guerrero,Wading,M,45,"FATAL, multiple bites ",Y,18h00,,,
Queensland,,M,,Survived,N,,,,
Gaza,Spearfishing,M,28,FATAL,Y,Morning,,,
KwaZulu-Natal,Spearfishing,M,26,Hip bruised,N,Morning,"2 m shark, possibly a dusky or blacktip shark",,
Guerrero,Swimming,,57,"FATAL, multiple bites ",Y,,,,
KwaZulu-Natal,Fishing from paddleski,M,,Hooked & gaffed shark bit his right elbow PROVOKED INCIDENT,N,,1 m shark,,
Hawaii,Surfing,M,,Leg bitten,N,,1.2 m to 1.8 m [4' to 6'] shark observed in area,,
Aulong Island,Scuba diving (submerged),M,,"No injury, shark grabbed scuba tank and descended to 110' before releasing him ",N,,Tiger shark,,
Western Caroline Islands,Scuba diving & U/W photography,M,,Hand & right shoulder lacerated,N,,Grey reef shark,,
Eastern Cape Province,Surfing,M,13,"No injury, surboard flung into air & dented",N,08h00,,,
Western Cape Province,Treading water,M,29,Lower left leg & foot bitten,N,14h00,,,
Gaza,Swimming,M,25,"Hip, leg, arm, hand & shoulder bitten",N,15h00,2 m to 3 m shark,,
Guerrero,Body surfing,M,17,"FATAL, hand severed, right leg and torso bitten ",Y,Afternoon,,,
Western Cape Province,Swimming,M,,"No injury, swim fin bitten",N,09h00,"White shark, > 3 m [10']",,
Queensland,,M,,Hand bitten,N,,,,
New South Wales,,,24,PROVOKED INCIDENT,N,,,,
Saint-Philippe,Spearfishing,,,FATAL,Y,,,,
Queensland,Spearfishing,M,24,Right arm bitten,N,,,,
New South Wales,Surfing,M,19,Lacerations to thigh & buttocks,N,,"Bronze whaler shark, 10' ",,
US Virgin Islands,Scuba diving,M,,"FATAL, body not recovered",Y,,Oceanic whitetip shark x 2,,
Florida,Surfing,M,17,Survived,N,,,,
North Island,Swimming,M,17,"No injury, leg of jeans torn off",N,,,,
California,Surfing,M,,Legs & board bitten,N,10h00,"White shark, 6 m [20'] ",,
Maputo Province,Swimming,F,20,Feet injured,,,Questionable incident,,
Florida,Surfing,M,15,Left calf bitten,N,Evening,,,
Hawaii,Spearfishing,M,,Forearm bitten,N,,2.4 m [8'] shark,,
Tasmania,Diving for abalone,M,45,Left foot bitten,N,,"White shark, 10'",,
California,Diving,,,Sharks reportedly bit legs & fins ,,,Questionable incident,,
Queensland,,M,,FATAL,Y,,,,
Queensland,,M,,FATAL,Y,,,,
Florida,Surfing,M,22,Buttocks bitten,N,11h30,4.5' shark,,
California,Free diving for abalone,M,32,Bitten on legs & buttock,N,13h30,"White shark, 4.4 m to 5 m [14.5' to 16.5'] ",,
Tuamotus,Spearfishing,M,27,Thigh bitten,N,,1.5 m grey reef shark,,
Upolu Island,Swimming,M,25,FATAL,Y,,Thought to involve a tiger shark,,
Queensland,,F,,Left leg bitten,N,,,,
Gaza,Swimming,M,19,FATAL,Y,17h00,,,
,Fishing,M,33,Arm bitten by hooked shark PROVOKED INCIDENT,N,,,,
Hawaii,Spearfishing,M,,Leg bitten,N,,,,
Victoria,Surfing,M,18,Laceration above knee,N,11h00,7' shark,,
Tasmania,,,,Survived,N,,,,
Eastern Cape Province,Swimming,M,20,"FATAL, coroner's Verdict: ""Death presumably through shark attack & drowning""",Y,,,,
KwaZulu-Natal,Sitting in shallows,F,30,Foot bitten,N,20h00,Zambesi shark,,
Gaza,Standing,M,24,"Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",N,16h20,"White shark, 2.5 m [8.25'] ",,
Antibes,Swimming,,,Shoulder injured,N,,White shark,,
Illeginni Atoll,"Free diving, collecting shells",M,,Right hand & torso lacerated,N,,1.8 m [6'] grey reef shark,,
New South Wales,,,22,Survived,N,,,,
Western Cape Province,Swimming,F,16,Right forearm bitten,N,14h45,"White shark, 3 m [10']rk",,
Queensland,,M,20,FATAL,Y,,,,
Mirs Bay ,Freedom Swimming,M,20,"Left leg severely bitten, surgically amputated",N,Just before dawn,,,
New South Wales,,,20,PROVOKED INCIDENT,N,,,,
Florida,Surfing,M,18,"Right shoulder, arm & hand bitten",N,Afternoon,5' to 6' shark,,
KwaZulu-Natal,Swimming,M,25,Wrist & hand lacerated,N,Evening,1.5 m to 2 m shark,,
California,Scuba diving,M,30,Bitten on legs,N, 14h00,"White shark, 5 m to 6 m [16.5' to 20']  ",,
North Carolina,Surfing,,17,Left foot injured,N,,,,
Istria County,Swimming,M,34,FATAL,Y,10h30,White shark,,
South Australia,Fishing,M,51," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",Y,,,,
New South Wales,Scuba diving & feeding fish,M,26,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,N,13h15,"Grey nurse shark, 11'",,
Florida,Wading,M,8,Laceration to left ankle,N,Afternoon,,,
California,Hookah diving (submerged),M,,"Major injuries to head, buttocks & back",N,,"White shark, 5.5 m to 6 m [18' to 20'] ",,
Western Cape Province,Surfing,M,21,Leg & surfboard bitten,N,15h35,"White shark, 3 m [10'], species identity confirmed by witnesses & tooth pattern in leg & board ",,
South Devon,Scuba diving,M,32,"No injury, said to have been attacked by shark but drove it away with a lobster hook",N,,3.6 m  porbeagle shark,,
Coast Province,Swimming,M,16,Right foot bitten,N,,"2 m [6'9""] shark",,
Western Cape Province,Swimming,M,>50,"FATAL, multiple bites ",Y,11h30,White shark according to tooth pattern and witnesses,,
Guerrero,Surfing,M,19,"FATAL, left thigh bitten ",Y,11h00,,,
,,M,14,"FATAL, body not recovered",Y,,,,
,,M,66,"FATAL, body not recovered",Y,,,,
Between Beira & Maputo,Wreck of the 1689-ton Portuguese  coaster Angoche,,,"FATAL, it was  thought  the surviving crew  were taken by sharks",Y,,,,
South Island,Surfing,M,16,Lacerations to left leg ,N,10h20,"White shark, 4.6 m [15'] ",,
Tasmania,Swimming,M,,Torso lacerated,N,16h30,,,
South Australia,Surfing,M,15,Severe lacerations to thigh,N,,White shark,,
Khuzestan Province,,M,,Survived,N,,,,
Khuzestan Province,,M,,Survived,N,,,,
Inhambe Province,Fishing for prawns,M,18,"FATAL, arm severed  ",Y,15h00,,,
Inhambe Province,Fishing for prawns,M,18 to 22,"FATAL, decapitated and arm severed",Y,,,,
Namonuito Atoll,Fishing,M,,Laceration to thigh,N,23h00,1.8 m shark,,
Hawaii,Shipwreck,M,41,Right thigh lacerated,N,,,,
,,M,,Extensive injuries,N,,,,
Hawaii,Body surfing,M,,Shoulder & arm bitten,N,,,,
Florida,Surfing,M,,Bitten on right leg above the ankle,N,,,,
Eastern Caroline Islands,Diving,M,43,Lacerations & punctures to right arm & shoulder ,N,10h00,1.8 to 2 m C. albimarginatus,,
Western Caroline Islands (North Pacific Ocean),Spearfishing,M,20,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",N,,1 m shark,,
Florida,Floating on a raft,M,18,Laceration to left foot,N,11h30,,,
New South Wales,,M,20,PROVOKED INCIDENT,N,,,,
South Carolina,Swimming,M,,Foot lacerated,N,,"""Dog shark""",,
Florida,Scuba diving,M,,Calf / knee injured?,N,,,,
Caribbean Sea,Sea Disaster Sinking of ferryboat Christina,,,"Sharks scavenged on bodies, but no record of them injuring survivors ",,Afternoon,Shark involvement prior to death was not confirmed,,
,,M,,Finger or toe severed,N,Night,Mako shark,,
Florida,Fishing,M,13,Bitten on calf by hooked shark PROVOKED INCIDENT,N,,7.5' shark,,
KwaZulu-Natal,Scuba Diving,M,25,2 cm laceration on knee PROVOKED INCIDENT,N,16h00,"Raggedtooth shark, 2 m [6'9""], 5-year-old, captive female ",,
St. Andrew Parish,Wading,M,16,"FATAL, multiple injuries to both legs  ",Y,14h00,,,
St. Andrew Parish,Wading,M,18,"FATAL, body not recovered",Y,14h00,,,
200 nm southeast of Manila,Motor launch Baby Princesa capsized with 22 people on board,,,"2 people survived, 6 drowned & the others were killed by sharks",Y,,,,
St. Andrew Parish,Swimming,M,14,"FATAL, body not recovered",Y,16h00,,,
,Freediving,M,,Arm abraded & lacerated. Recorded as PROVOKED INCIDENT,N,,Wobbegong shark ,,
,Swimming,M,,No details,UNKNOWN,,Wobbegong shark,,
Hawaii,Body surfing,M,,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",,,Shark involvement prior to death was not confirmed,,
Florida,Wading,M,19,Foot & calf lacerated,N,Late afternoon,,,
,Wading,F,8,Lacerations to lower leg,N,,Carpet shark,,
Limpopo River,Swimming,M,14,"Hands severed, forearm severely lacerated",N,,,,
Limpopo River,Swimming,M,16,Leg severed at knee,N,,Zambesi shark,,
Limpopo River,Swimming,M,12,"Arm severed, thigh bitten",N,,Zambesi shark,,
Limpopo River,Swimming,M,10,Leg severed at knee,N,,Zambesi shark,,
Red Sea,Air disaster,M,,FATAL,Y,,,,
Guerrero,Swimming,M,22,Leg bitten,N,,,,
Devon,Attempted to return injured shark to the sea,M,,Leg bitten,N,,8' blue shark,,
New Ireland Province,Freediving,M,15,Lacerations to back,N,,,,
Western Province,Spearfishing / freediving,M,,Swim fins badly torn by the shark's teeth,N,,,,
Canary Islands,Spearfishing,M,,Minor injury,N,,Blue shark,,
Sardinia,Fishing on a boat,M,,No injury,N,,White shark,,
Zadar County,Spearfishing,M,,No details,UNKNOWN,,White shark,,
Basrah,Washing cooking pans,F,28,Left hand severed,N,Afternoon,,,
Basrah,Washing clothes on stairs,F,25,Left foot severed,N,,,,
Basrah,Swimming,M,35,"FATAL, left leg severed",Y,12h00,,,
Basrah,"Fishing, trying to catch the end of his fishing line",M,35,Left hand bitten,N,Afternoon,,,
Western Australia,Swimming,M,15,Left thigh lacerated,N,Afternoon,,,
Hawaii,Scuba diving for lobsters,M,,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",N,,>2.4 m [8'] shark,,
New South Wales,,M,27,PROVOKED INCIDENT,N,,,,
Hawaii,Diving,M,,No injury,N,Morning,Oceanic whitetip shark,,
California,Free diving for abalone,M,53,Leg & ankle severely bitten,N,11h20,"White shark, 4.3 m 4.9 m [14' to 16'] ",,
Florida,Floating on his back,M,,Laceration to right leg,N,Afternoon,,,
Massachusetts,Fishing,M,28,Leg bitten by netted shark PROVOKED INCIDENT,N,,,,
Florida,Surfing,M,15,Lacerations to lower leg,N,Morning,,,
Florida,Body surfing,M,13,Lacerations to right lower leg & left arm and hand,N,16h30,4' shark,,
,,M,25,Am lacerated,N,,,,
,,M,,Arm lacerated. Recorded as PROVOKED INCIDENT,N,,,,
Florida,,M,13,Scrape on head. Recorded as PROVOKED INCIDENT,N,16h00,Nurse shark,,
California,Freediving for abalone (at surface),M,,"Foot bitten, minor injury",N,13h00,"White shark, 5 m [16.5'] ",,
Florida,Wading,M,22,No details,UNKNOWN,1600,,,
Clarendon,Diving,M,27,Multiple lacerations,N,Morning,,,
Florida,Wading,M,8,No injury,N,20h00,,,
Texas,Surf-fishing,M,,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,N,19h00,2' to 3' shark,,
Florida,Diving,M,23,Laceration to buttocks Recorded as PROVOKED INCIDENT,N,11h00,Nurse shark,,
,Surfing,M,18,,UNKNOWN,16h00,,,
Queensland,,,,Survived,N,,,,
New South Wales,Netting pilchards,M,,No injury,,,"Considered a ""Doubtful"" incident",,
Florida,Fishing,M,adult,Laceration to foot from dead shark PROVOKED INCIDENT,N,,"Lemon shark, 9' ",,
New South Wales,,M,65,Foot lacerated. Recorded as PROVOKED INCIDENT,N,,Mako shark,,
Hawaii,Surfing,M,16,Leg & surfboard bitten,N,17h30,"White shark, identified by tooth fragments in surfboard",,
Tasmania,Fishing,M,49,Lacerations to hand from hooked shark PROVOKED INCIDENT,N,Daytime,7-gill shark,,
Queensland,Hard hat diving,M,52,No details,,,Questionable incident,,
New South Wales,Freediving,M,21,Abrasions and lacerations to lower right leg,N,07h30,,,
Victoria,,M,,Minor injury ,N,,Carpet shark,,
Eleuthera,Sight-seeing,,,"No injury to occupants, shark grabbed prop, Leodorn hit shark with oar, shark bit oar in half PROVOKED INCIDENT",N,,10' shark,,
KwaZulu-Natal,Freediving,M,,No injury,,,Questionable incident,,
New South Wales,Feeding mullet to sharks,M,27,Laceration to finger by a captive shark PROVOKED INCIDENT,N,Morning,"Grey nurse shark, 10' ",,
South Island,Surfing,M,17,"Hit in face by shark, arm abraded, surfboard bitten",N,17h45,White shark,,
South Australia,,M,,Survived,N,,White shark,,
KwaZulu-Natal,Spearfishing,M,28,"No injury, left elbow & torso bumped by sharks",N,,"2 scalloped hammerhead sharks, 1.5 m & 1.8 m [5' & 6']",,
KwaZulu-Natal,,M,30,No injury,,,Questionable incident,,
KwaZulu-Natal,Fishing,M,22,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",N,,"90-kg ""blackfin"" shark",,
Madang Province,Wreck of the Storm King,,,Remains recovered days later from shark,,,Shark involvement prior to death was not confirmed,,
Western Australia,,M,16,Abrasion on shoulder Recorded as PROVOKED INCIDENT,N,15h00,,,
,,M,,Calf injured Recorded as PROVOKED INCIDENT,N,22h00,,,
Florida,Spearfishing using Scuba,M,,Swim fin bitten,N,,3 m [10'] bull shark,,
Moro Gulf,Sinking of the ferryboat Dumaguete ,,,Survived,N,,,,
Florida,Surfing,,,,,12h48,Shark involvement not confirmed,,
South Island,Spearfishing,M,24,"FATAL, left leg bitten, femoral artery severed  ",Y,10h15,"White shark, 4.3 m [14'], (tooth fragment recovered)",,
Florida,Playing with a frisbee in the shallows,,9 & 12,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",N,16h00,a small hammerhead shark,,
Florida,Standing,M,15,Leg & arm bitten,N,17h00,,,
Society Islands,Swimming,M,12,Finger severed,N,,,,
Johor,Leaving the water,,41,Hand lacerated,N,08h00,,,
Magdalena Department,Dynamite fishing,M,18,Lacerations to head,N,10h30,2 m shark,,
California,Free diving,M,25,Major injury to torso,N,11h00,"White shark, 4 m [13'] ",,
Florida,Wading,M,33,Abrasions on lower leg,N,13h30,,,
South Carolina,Spearfishing using Scuba,M,33,Swimfin & knee bitten,N,Afternoon,4m [13'] shark,,
Great Exuma Island,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,M,,"FATAL, taken by shark  ",Y,,,,
Baja California,,M,43,No injury,,Afternoon,Not authenticated,,
Eleuthera,Spearfishing,M,17,"Bumped shoulder, bit head",N,,1.5 m to 2 m [5' to 6.75'] Caribbean reef shark ,,
Florida,Clamming,M,17,Lacerations to lower right leg & andkle,N,09h30,,,
,,M,,Arm severely lacerated,N,,Blue shark,,
Mafia Island,Schooner sank during a storm,,,"6 people rescued, 3 shark-scavenged bodies recovered, 14 people lost ",,,Shark involvement not confirmed,,
New Ireland Province,Standing,M,17,Lower leg severely lacerated,N,,,,
Florida,Wading,M,63,Foot severely injured,,14h00,Shark involvement not confirmed,,
Florida,,M,10,"Buttock, both legs & arm bitten",N,12h30,2.7 m [9'] silky shark,,
New South Wales,"Diving. Shark “swallowed’ his hand, so he threw his other around the shark and went “shark-back riding” for 30 yards until the shark opened its jaws",M,21,Hand lacerated,N,,"Bronze whaler shark, 1.8 m [6'] ",,
Gulf Province,Swimming,M,7,FATAL Laceration to chest,Y,,,,
